Tonic,3,start_running,12801
Tonic,3,interrupted,13000
Tonic,3,interrupted,13000
CIFAR 100,1,start_running,13201
CIFAR 100,1,start_running,13201
CIFAR 100,1,interrupted,13400
CIFAR 100,1,interrupted,13400
Tonic,3,start_running,13401
Tonic,3,start_running,13401
Tonic,3,interrupted,13600
Tonic,3,interrupted,13600
CIFAR 100,1,start_running,13801
CIFAR 100,1,start_running,13801
CIFAR 100,1,interrupted,14000
CIFAR 100,1,interrupted,14000
Tonic,3,start_running,14001
Tonic,3,start_running,14001
Tonic,3,interrupted,14200
Tonic,3,interrupted,14200
CIFAR 100,1,start_running,14401
CIFAR 100,1,start_running,14401
CIFAR 100,1,interrupted,14600
CIFAR 100,1,interrupted,14600
Tonic,3,start_running,14601
Tonic,3,start_running,14601
Tonic,3,interrupted,14800
Tonic,3,interrupted,14800
CIFAR 100,1,start_running,15001
CIFAR 100,1,start_running,15001
CIFAR 100,1,proc_complete,15026
CIFAR 100,1,proc_complete,15026
Tonic,3,start_running,15026
Tonic,3,start_running,15026
Tonic,3,proc_complete,15051
Tonic,3,proc_complete,15051
